Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
Single-cell RNA sequencing reveals midbrain dopamine neuron diversity emerging during mouse brain development,,10.1038/s41467-019-08453-1,True,Single-cell RNA sequencing reveals midbrain dopamine neuron diversity emerging during mouse brain development.pdf,2019,,Nature Communications,True,SciHub,Katar{\'{\i}}na Tiklov{\'{a}} and {\AA}sa K. Björklund and Laura Lahti and Alessandro Fiorenzano and Sara Nolbrant and Linda Gillberg and Nikolaos Volakakis and Chika Yokota and Markus M. Hilscher and Thomas Hauling and Fredrik Holmström and Eliza Joodmardi and Mats Nilsson and Malin Parmar and Thomas Perlmann
Single-cell imaging and RNA sequencing reveal patterns of gene expression heterogeneity during fission yeast growth and adaptation,,10.1038/s41564-018-0330-4,True,Single-cell imaging and RNA sequencing reveal patterns of gene expression heterogeneity during fission yeast growth and adaptation.pdf,2019,,Nature Microbiology,True,SciHub,Malika Saint and Fran{\c{c}}ois Bertaux and Wenhao Tang and Xi-Ming Sun and Laurence Game and Anna Köferle and Jürg Bähler and Vahid Shahrezaei and Samuel Marguerat
Sensitive high-throughput single-cell RNA-seq reveals within-clonal transcript correlations in yeast populations,,10.1038/s41564-018-0346-9,True,Sensitive high-throughput single-cell RNA-seq reveals within-clonal transcript correlations in yeast populations.pdf,2019,,Nature Microbiology,True,SciHub,Mariona Nadal-Ribelles and Saiful Islam and Wu Wei and Pablo Latorre and Michelle Nguyen and Eul{\`{a}}lia de Nadal and Francesc Posas and Lars M. Steinmetz
Single-Cell Transcriptomics of Regulatory T Cells Reveals Trajectories of Tissue Adaptation,,10.1016/j.immuni.2019.01.001,True,Single-Cell Transcriptomics of Regulatory T Cells Reveals Trajectories of Tissue Adaptation.pdf,2019,,Immunity,True,SciHub,Ricardo J. Miragaia and Tom{\'{a}}s Gomes and Agnieszka Chomka and Laura Jardine and Angela Riedel and Ahmed N. Hegazy and Natasha Whibley and Andrea Tucci and Xi Chen and Ida Lindeman and Guy Emerton and Thomas Krausgruber and Jacqueline Shields and Muzlifah Haniffa and Fiona Powrie and Sarah A. Teichmann
MicroRNA-155 coordinates the immunological landscape within murine melanoma and correlates with immunity in human cancers,,10.1172/jci.insight.126543,True,MicroRNA-155 coordinates the immunological landscape within murine melanoma and correlates with immunity in human cancers.pdf,2019,,{JCI} Insight,True,SciHub,H. Atakan Ekiz and Thomas B. Huffaker and Allie H. Grossmann and W. Zac Stephens and Matthew A. Williams and June L. Round and Ryan M. O{\textquotesingle}Connell
Cxcr3-expressing leukocytes are necessary for neurofibroma formation in mice,,10.1172/jci.insight.98601,True,,2019,,{JCI} Insight,False,,Jonathan S. Fletcher and Jianqiang Wu and Walter J. Jessen and Jay Pundavela and Jacob A. Miller and Eva Dombi and Mi-Ok Kim and Tilat A. Rizvi and Kashish Chetal and Nathan Salomonis and Nancy Ratner
"Species-specific maturation profiles of human, chimpanzee and bonobo neural cells",,10.7554/eLife.37527,True,,2019,,{eLife},False,,Maria C Marchetto and Branka Hrvoj-Mihic and Bilal E Kerman and Diana X Yu and Krishna C Vadodaria and Sara B Linker and I{\~{n}}igo Narvaiza and Renata Santos and Ahmet M Denli and Ana PD Mendes and Ruth Oefner and Jonathan Cook and Lauren McHenry and Jaeson M Grasmick and Kelly Heard and Callie Fredlender and Lynne Randolph-Moore and Rijul Kshirsagar and Rea Xenitopoulos and Grace Chou and Nasun Hah and Alysson R Muotri and Krishnan Padmanabhan and Katerina Semendeferi and Fred H Gage
Specification of diverse cell types during early neurogenesis of the mouse cerebellum,,10.7554/eLife.42388,True,,2019,,{eLife},False,,John W Wizeman and Qiuxia Guo and Elliott M Wilion and James YH Li
Single-cell analysis reveals fibroblast heterogeneity and myeloid-derived adipocyte progenitors in murine skin wounds,,10.1038/s41467-018-08247-x,True,Single-cell analysis reveals fibroblast heterogeneity and myeloid-derived adipocyte progenitors in murine skin wounds.pdf,2019,,Nature Communications,True,SciHub,Christian F. Guerrero-Juarez and Priya H. Dedhia and Suoqin Jin and Rolando Ruiz-Vega and Dennis Ma and Yuchen Liu and Kosuke Yamaga and Olga Shestova and Denise L. Gay and Zaixin Yang and Kai Kessenbrock and Qing Nie and Warren S. Pear and George Cotsarelis and Maksim V. Plikus
Establishing Cerebral Organoids as Models of Human-Specific Brain Evolution,,10.1016/j.cell.2019.01.017,True,Establishing Cerebral Organoids as Models of Human-Specific Brain Evolution.pdf,2019,,Cell,True,SciHub,Alex A. Pollen and Aparna Bhaduri and Madeline G. Andrews and Tomasz J. Nowakowski and Olivia S. Meyerson and Mohammed A. Mostajo-Radji and Elizabeth Di Lullo and Beatriz Alvarado and Melanie Bedolli and Max L. Dougherty and Ian T. Fiddes and Zev N. Kronenberg and Joe Shuga and Anne A. Leyrat and Jay A. West and Marina Bershteyn and Craig B. Lowe and Bryan J. Pavlovic and Sofie R. Salama and David Haussler and Evan E. Eichler and Arnold R. Kriegstein
Unravelling Intratumoral Heterogeneity through High-Sensitivity Single-Cell Mutational Analysis and Parallel RNA Sequencing,,10.1016/j.molcel.2019.01.009,True,Unravelling Intratumoral Heterogeneity through High-Sensitivity Single-Cell Mutational Analysis and Parallel RNA Sequencing.pdf,2019,,Molecular Cell,True,SciHub,Alba Rodriguez-Meira and Gemma Buck and Sally-Ann Clark and Benjamin J. Povinelli and Veronica Alcolea and Eleni Louka and Simon McGowan and Angela Hamblin and Nikolaos Sousos and Nikolaos Barkas and Alice Giustacchini and Bethan Psaila and Sten Eirik W. Jacobsen and Supat Thongjuea and Adam J. Mead
Single-Cell Transcriptome Analysis Maps the Developmental Track of the Human Heart,,10.1016/j.celrep.2019.01.079,True,Single-Cell Transcriptome Analysis Maps the Developmental Track of the Human Heart.pdf,2019,,Cell Reports,True,SciHub,Yueli Cui and Yuxuan Zheng and Xixi Liu and Liying Yan and Xiaoying Fan and Jun Yong and Yuqiong Hu and Ji Dong and Qingqing Li and Xinglong Wu and Shuai Gao and Jingyun Li and Lu Wen and Jie Qiao and Fuchou Tang
Resolving Cell Fate Decisions during Somatic Cell Reprogramming by Single-Cell RNA-Seq,,10.1016/j.molcel.2019.01.042,True,Resolving Cell Fate Decisions during Somatic Cell Reprogramming by Single-Cell RNA-Seq.pdf,2019,,Molecular Cell,True,SciHub,Lin Guo and Lihui Lin and Xiaoshan Wang and Mingwei Gao and Shangtao Cao and Yuanbang Mai and Fang Wu and Junqi Kuang and He Liu and Jiaqi Yang and Shilong Chu and Hong Song and Dongwei Li and Yujian Liu and Kaixin Wu and Jiadong Liu and Jinyong Wang and Guangjin Pan and Andrew P. Hutchins and Jing Liu and Duanqing Pei and Jiekai Chen
The transcription factor Duxbl mediates elimination of pre-T cells that fail β-selection,,10.1084/jem.20181444,True,The transcription factor Duxbl mediates elimination of pre-T cells that fail β-selection.pdf,2019,,Journal of Experimental Medicine,True,SciHub,Fabian Klein and Mladen Mitrovic and Julien Roux and Corinne Engdahl and Lilly von Muenchow and Llucia Alberti-Servera and Hans JÃ¶rg Fehling and Pawel Pelczar and Antonius Rolink and Panagiotis Tsapogas
Barcoding reveals complex clonal behavior in patient-derived xenografts of metastatic triple negative breast cancer,,10.1038/s41467-019-08595-2,True,Barcoding reveals complex clonal behavior in patient-derived xenografts of metastatic triple negative breast cancer.pdf,2019,,Nature Communications,True,SciHub,D. Merino and T. S. Weber and A. Serrano and F. Vaillant and K. Liu and B. Pal and L. Di Stefano and J. Schreuder and D. Lin and Y. Chen and M. L. Asselin-Labat and T. N. Schumacher and D. Cameron and G. K. Smyth and A. T. Papenfuss and G. J. Lindeman and J. E. Visvader and S. H. Naik
Spatial and temporal heterogeneity of mouse and human microglia at single-cell resolution,,10.1038/s41586-019-0924-x,True,Spatial and temporal heterogeneity of mouse and human microglia at single-cell resolution.pdf,2019,,Nature,True,SciHub,Takahiro Masuda and Roman Sankowski and Ori Staszewski and Chotima Böttcher and Lukas Amann and  Sagar and Christian Scheiwe and Stefan Nessler and Patrik Kunz and Geert van Loo and Volker Arnd Coenen and Peter Christoph Reinacher and Anna Michel and Ulrich Sure and Ralf Gold and Dominic Grün and Josef Priller and Christine Stadelmann and Marco Prinz
"Human CD8+ T cell cross-reactivity across influenza A, B and C viruses",,10.1038/s41590-019-0320-6,True,Human CD8_ T cell cross-reactivity across influenza A_ B and C viruses.pdf,2019,,Nature Immunology,True,SciHub,Marios Koutsakos and Patricia T. Illing and Thi H. O. Nguyen and Nicole A. Mifsud and Jeremy Chase Crawford and Simone Rizzetto and Auda A. Eltahla and E. Bridie Clemens and Sneha Sant and Brendon Y. Chua and Chinn Yi Wong and E. Kaitlynn Allen and Don Teng and Pradyot Dash and David F. Boyd and Ludivine Grzelak and Weiguang Zeng and Aeron C. Hurt and Ian Barr and Steve Rockman and David C. Jackson and Tom C. Kotsimbos and Allen C. Cheng and Michael Richards and Glen P. Westall and Thomas Loudovaris and Stuart I. Mannering and Michael Elliott and Stuart G. Tangye and Linda M. Wakim and Jamie Rossjohn and Dhanasekaran Vijaykrishna and Fabio Luciani and Paul G. Thomas and Stephanie Gras and Anthony W. Purcell and Katherine Kedzierska
"Single-cell analysis of fate-mapped macrophages reveals heterogeneity, including stem-like properties, during atherosclerosis progression and regression",,10.1172/jci.insight.124574,True,Single-cell analysis of fate-mapped macrophages reveals heterogeneity_ including stem-like properties_ during atherosclerosis progression and regression.pdf,2019,,{JCI} Insight,True,SciHub,Jian-Da Lin and Hitoo Nishi and Jordan Poles and Xiang Niu and Caroline Mccauley and Karishma Rahman and Emily J. Brown and Stephen T. Yeung and Nikollaq Vozhilla and Ada Weinstock and Stephen A. Ramsey and Edward A. Fisher and P'ng Loke
A single-cell molecular map of mouse gastrulation and early organogenesis,,10.1038/s41586-019-0933-9,True,A single-cell molecular map of mouse gastrulation and early organogenesis.pdf,2019,,Nature,True,SciHub,Blanca Pijuan-Sala and Jonathan A. Griffiths and Carolina Guibentif and Tom W. Hiscock and Wajid Jawaid and Fernando J. Calero-Nieto and Carla Mulas and Ximena Ibarra-Soria and Richard C. V. Tyser and Debbie Lee Lian Ho and Wolf Reik and Shankar Srinivas and Benjamin D. Simons and Jennifer Nichols and John C. Marioni and Berthold GÃ¶ttgens
The single-cell transcriptional landscape of mammalian organogenesis,,10.1038/s41586-019-0969-x,True,The single-cell transcriptional landscape of mammalian organogenesis.pdf,2019,,Nature,True,SciHub,Junyue Cao and Malte Spielmann and Xiaojie Qiu and Xingfan Huang and Daniel M. Ibrahim and Andrew J. Hill and Fan Zhang and Stefan Mundlos and Lena Christiansen and Frank J. Steemers and Cole Trapnell and Jay Shendure
Diabetes relief in mice by glucose-sensing insulin-secreting human α-cells,,10.1038/s41586-019-0942-8,True,Diabetes relief in mice by glucose-sensing insulin-secreting human α-cells.pdf,2019,,Nature,True,SciHub,Kenichiro Furuyama and Simona Chera and L{\'{e}}on van Gurp and Daniel Oropeza and Luiza Ghila and Nicolas Damond and Heidrun Vethe and Joao A. Paulo and Antoinette M. Joosten and Thierry Berney and Domenico Bosco and Craig Dorrell and Markus Grompe and Helge R{\ae}der and Bart O. Roep and Fabrizio Thorel and Pedro L. Herrera
Maturation of heart valve cell populations during postnatal remodeling,,10.1242/dev.173047,True,Maturation of heart valve cell populations during postnatal remodeling.pdf,2019,,Development,True,SciHub,Alexia Hulin and Luis Hortells and M. Victoria Gomez-Stallons and Anna O{\textquotesingle}Donnell and Kashish Chetal and Mike Adam and Patrizio Lancellotti and Cecile Oury and S. Steven Potter and Nathan Salomonis and Katherine E. Yutzey
Targeted Elimination of Senescent Beta Cells Prevents Type 1 Diabetes,,10.1016/j.cmet.2019.01.021,True,Targeted Elimination of Senescent Beta Cells Prevents Type 1 Diabetes.pdf,2019,,Cell Metabolism,True,SciHub,Peter J. Thompson and Ajit Shah and Vasilis Ntranos and Frederic Van Gool and Mark Atkinson and Anil Bhushan
An atlas of the aging lung mapped by single cell transcriptomics and deep tissue proteomics,,10.1038/s41467-019-08831-9,True,An atlas of the aging lung mapped by single cell transcriptomics and deep tissue proteomics.pdf,2019,,Nature Communications,True,SciHub,Ilias Angelidis and Lukas M. Simon and Isis E. Fernandez and Maximilian Strunz and Christoph H. Mayr and Flavia R. Greiffo and George Tsitsiridis and Meshal Ansari and Elisabeth Graf and Tim-Matthias Strom and Monica Nagendran and Tushar Desai and Oliver Eickelberg and Matthias Mann and Fabian J. Theis and Herbert B. Schiller
Colonic epithelial cell diversity in health and inflammatory bowel disease,,10.1038/s41586-019-0992-y,True,Colonic epithelial cell diversity in health and inflammatory bowel disease.pdf,2019,,Nature,True,SciHub,Kaushal Parikh and Agne Antanaviciute and David Fawkner-Corbett and Marta Jagielowicz and Anna Aulicino and Christoffer Lagerholm and Simon Davis and James Kinchen and Hannah H. Chen and Nasullah Khalid Alham and Neil Ashley and Errin Johnson and Philip Hublitz and Leyuan Bao and Joanna Lukomska and Rajinder Singh Andev and Elisabet BjÃ¶rklund and Benedikt M. Kessler and Roman Fischer and Robert Goldin and Hashem Koohy and Alison Simmons
Single-Cell RNA-Seq Reveals AML Hierarchies Relevant to Disease Progression and Immunity,,10.1016/j.cell.2019.01.031,True,Single-Cell RNA-Seq Reveals AML Hierarchies Relevant to Disease Progression and Immunity.pdf,2019,,Cell,True,SciHub,Peter van Galen and Volker Hovestadt and Marc H. Wadsworth II and Travis K. Hughes and Gabriel K. Griffin and Sofia Battaglia and Julia A. Verga and Jason Stephansky and Timothy J. Pastika and Jennifer Lombardi Story and Geraldine S. Pinkus and Olga Pozdnyakova and Ilene Galinsky and Richard M. Stone and Timothy A. Graubert and Alex K. Shalek and Jon C. Aster and Andrew A. Lane and Bradley E. Bernstein
Quiescence Modulates Stem Cell Maintenance and Regenerative Capacity in the Aging Brain,,10.1016/j.cell.2019.01.040,True,Quiescence Modulates Stem Cell Maintenance and Regenerative Capacity in the Aging Brain.pdf,2019,,Cell,True,SciHub,Georgios Kalamakis and Daniel BrÃ¼ne and Srikanth Ravichandran and Jan Bolz and Wenqiang Fan and Frederik Ziebell and Thomas Stiehl and Francisco Catal{\'{a}}-Martinez and Janina Kupke and Sheng Zhao and Enric Llorens-Bobadilla and Katharina Bauer and Stefanie Limpert and Birgit Berger and Urs Christen and Peter Schmezer and Jan Philipp Mallm and Benedikt Berninger and Simon Anders and Antonio del Sol and Anna Marciniak-Czochra and Ana Martin-Villalba
Lineage Tracing in Humans Enabled by Mitochondrial Mutations and Single-Cell Genomics,,10.1016/j.cell.2019.01.022,True,Lineage Tracing in Humans Enabled by Mitochondrial Mutations and Single-Cell Genomics.pdf,2019,,Cell,True,SciHub,Leif S. Ludwig and Caleb A. Lareau and Jacob C. Ulirsch and Elena Christian and Christoph Muus and Lauren H. Li and Karin Pelka and Will Ge and Yaara Oren and Alison Brack and Travis Law and Christopher Rodman and Jonathan H. Chen and Genevieve M. Boland and Nir Hacohen and Orit Rozenblatt-Rosen and Martin J. Aryee and Jason D. Buenrostro and Aviv Regev and Vijay G. Sankaran
Microglial Function Is Distinct in Different Anatomical Locations during Retinal Homeostasis and Degeneration,,10.1016/j.immuni.2019.02.007,True,Microglial Function Is Distinct in Different Anatomical Locations during Retinal Homeostasis and Degeneration.pdf,2019,,Immunity,True,SciHub,Emily G. O'Koren and Chen Yu and Mikael Klingeborn and Alicia Y.W. Wong and Cameron L. Prigge and Rose Mathew and Joan Kalnitsky and Rasha A. Msallam and Aymeric Silvin and Jeremy N. Kay and Catherine Bowes Rickman and Vadim Y. Arshavsky and Florent Ginhoux and Miriam Merad and Daniel R. Saban
Single-Cell RNA-Seq Reveals Cellular Heterogeneity of Pluripotency Transition and X Chromosome Dynamics during Early Mouse Development,,10.1016/j.celrep.2019.02.031,True,Single-Cell RNA-Seq Reveals Cellular Heterogeneity of Pluripotency Transition and X Chromosome Dynamics during Early Mouse Development.pdf,2019,,Cell Reports,True,SciHub,Shangli Cheng and Yu Pei and Liqun He and Guangdun Peng and BjÃ¶rn Reinius and Patrick P.L. Tam and Naihe Jing and Qiaolin Deng
Optimal-Transport Analysis of Single-Cell Gene Expression Identifies Developmental Trajectories in Reprogramming,,10.1016/j.cell.2019.02.026,True,Optimal-Transport Analysis of Single-Cell Gene Expression Identifies Developmental Trajectories in Reprogramming.pdf,2019,,Cell,True,SciHub,Geoffrey Schiebinger and Jian Shu and Marcin Tabaka and Brian Cleary and Vidya Subramanian and Aryeh Solomon and Joshua Gould and Siyan Liu and Stacie Lin and Peter Berube and Lia Lee and Jenny Chen and Justin Brumbaugh and Philippe Rigollet and Konrad Hochedlinger and Rudolf Jaenisch and Aviv Regev and Eric S. Lander
Single cell transcriptomics reveals spatial and temporal dynamics of gene expression in the developing mouse spinal cord,,10.1242/dev.173807,True,Single cell transcriptomics reveals spatial and temporal dynamics of gene expression in the developing mouse spinal cord.pdf,2019,,Development,True,SciHub,Julien Delile and Teresa Rayon and Manuela Melchionda and Amelia Edwards and James Briscoe and Andreas Sagner
Single-Cell RNA Profiling of Glomerular Cells Shows Dynamic Changes in Experimental Diabetic Kidney Disease,,10.1681/ASN.2018090896,True,Single-Cell RNA Profiling of Glomerular Cells Shows Dynamic Changes in Experimental Diabetic Kidney Disease.pdf,2019,,Journal of the American Society of Nephrology,True,SciHub,Jia Fu and Kemal M. Akat and Zeguo Sun and Weijia Zhang and Detlef Schlondorff and Zhihong Liu and Thomas Tuschl and Kyung Lee and John Cijiang He
Defining the Activated Fibroblast Population in Lung Fibrosis Using Single-Cell Sequencing,,10.1165/rcmb.2018-0313OC,True,Defining the Activated Fibroblast Population in Lung Fibrosis Using Single-Cell Sequencing.pdf,2019,,American Journal of Respiratory Cell and Molecular Biology,True,SciHub,Rebecca Peyser and Scott MacDonnell and Yinglin Gao and Luis Cheng and Yong Kim and Theodore Kaplan and Qin Ruan and Yi Wei and Min Ni and Christina Adler and Wen Zhang and Kishor Devalaraja-Narashimha and Justin Grindley and Gabor Halasz and Lori Morton
Generation and persistence of human tissue-resident memory T cells in lung transplantation,,10.1126/sciimmunol.aav5581,True,Generation and persistence of human tissue-resident memory T cells in lung transplantation.pdf,2019,,Science Immunology,True,SciHub,Mark E. Snyder and Michael O. Finlayson and Thomas J. Connors and Pranay Dogra and Takashi Senda and Erin Bush and Dustin Carpenter and Charles Marboe and Luke Benvenuto and Lori Shah and Hilary Robbins and Jaime L. Hook and Megan Sykes and Frank D'Ovidio and Matthew Bacchetta and Joshua R. Sonett and David J. Lederer and Selim Arcasoy and Peter A. Sims and Donna L. Farber
Single-cell transcriptomic analysis of the lateral hypothalamic area reveals molecularly distinct populations of inhibitory and excitatory neurons,,10.1038/s41593-019-0349-8,True,Single-cell transcriptomic analysis of the lateral hypothalamic area reveals molecularly distinct populations of inhibitory and excitatory neurons.pdf,2019,,Nature Neuroscience,True,SciHub,Laura E. Mickelsen and Mohan Bolisetty and Brock R. Chimileski and Akie Fujita and Eric J. Beltrami and James T. Costanzo and Jacob R. Naparstek and Paul Robson and Alexander C. Jackson
Single-Cell Heterogeneity Analysis and CRISPR Screen Identify Key β-Cell-Specific Disease Genes,,10.1016/j.celrep.2019.02.043,True,Single-Cell Heterogeneity Analysis and CRISPR Screen Identify Key β-Cell-Specific Disease Genes.pdf,2019,,Cell Reports,True,SciHub,Zhou Fang and Chen Weng and Haiyan Li and Ran Tao and Weihua Mai and Xiaoxiao Liu and Leina Lu and Sisi Lai and Qing Duan and Carlos Alvarez and Peter Arvan and Anthony Wynshaw-Boris and Yun Li and Yanxin Pei and Fulai Jin and Yan Li
Insights into the Biology of Hearing and Deafness Revealed by Single-Cell RNA Sequencing,,10.1016/j.celrep.2019.02.053,True,Insights into the Biology of Hearing and Deafness Revealed by Single-Cell RNA Sequencing.pdf,2019,,Cell Reports,True,SciHub,Paul T. Ranum and Alexander T. Goodwin and Hidekane Yoshimura and Diana L. Kolbe and William D. Walls and Jin-Young Koh and David Z.Z. He and Richard J.H. Smith
Noninvasive ultrasound stimulation of the spleen to treat inflammatory arthritis,,10.1038/s41467-019-08721-0,True,Noninvasive ultrasound stimulation of the spleen to treat inflammatory arthritis.pdf,2019,,Nature Communications,True,SciHub,Daniel P. Zachs and Sarah J. Offutt and Rachel S. Graham and Yohan Kim and Jerel Mueller and Jennifer L. Auger and Nathaniel J. Schuldt and Claire R. W. Kaiser and Abigail P. Heiller and Raini Dutta and Hongsun Guo and Jamu K. Alford and Bryce A. Binstadt and Hubert H. Lim
"Single cell RNA-seq study of wild type and Hox9,10,11 mutant developing uterus",,10.1038/s41598-019-40923-w,True,Single cell RNA-seq study of wild type and Hox9_10_11 mutant developing uterus.pdf,2019,,Scientific Reports,True,SciHub,Michael L. Mucenski and Robert Mahoney and Mike Adam and Andrew S. Potter and S. Steven Potter
Defining developmental diversification of diencephalon neurons through single-cell gene expression profiling,,10.1242/dev.174284,True,Defining developmental diversification of diencephalon neurons through single-cell gene expression profiling.pdf,2019,,Development,True,SciHub,Qiuxia Guo and James Y. H. Li
Two distinct interstitial macrophage populations coexist across tissues in specific subtissular niches,,10.1126/science.aau0964,True,Two distinct interstitial macrophage populations coexist across tissues in specific subtissular niches.pdf,2019,,Science,True,SciHub,Svetoslav Chakarov and Hwee Ying Lim and Leonard Tan and Sheau Yng Lim and Peter See and Josephine Lum and Xiao-Meng Zhang and Shihui Foo and Satoshi Nakamizo and Kaibo Duan and Wan Ting Kong and Rebecca Gentek and Akhila Balachander and Daniel Carbajo and Camille Bleriot and Benoit Malleret and John Kit Chung Tam and Sonia Baig and Muhammad Shabeer and Sue-Anne Ee Shiow Toh and Andreas Schlitzer and Anis Larbi and Thomas Marichal and Bernard Malissen and Jinmiao Chen and Michael Poidinger and Kenji Kabashima and Marc Bajenoff and Lai Guan Ng and Veronique Angeli and Florent Ginhoux
Dissecting Cell Lineage Specification and Sex Fate Determination in Gonadal Somatic Cells Using Single-Cell Transcriptomics,,10.1016/j.celrep.2019.02.069,True,Dissecting Cell Lineage Specification and Sex Fate Determination in Gonadal Somatic Cells Using Single-Cell Transcriptomics.pdf,2019,,Cell Reports,True,SciHub,Isabelle St{\'{e}}vant and Fran{\c{c}}oise KÃ¼hne and Andy Greenfield and Marie-Christine Chaboissier and Emmanouil T. Dermitzakis and Serge Nef
Single-cell analysis of adult skeletal muscle stem cells in homeostatic and regenerative conditions,,10.1242/dev.174177,True,Single-cell analysis of adult skeletal muscle stem cells in homeostatic and regenerative conditions.pdf,2019,,Development,True,SciHub,Stefania Dell{\textquotesingle}Orso and Aster H. Juan and Kyung-Dae Ko and Faiza Naz and Gustavo Gutierrez-Cruz and Xuesong Feng and Vittorio Sartorelli
Transition state dynamics during a stochastic fate choice,,10.1242/dev.173740,True,Transition state dynamics during a stochastic fate choice.pdf,2019,,Development,True,SciHub,Vlatka Antolovi{\'{c}} and Tchern Lenn and Agnes Miermont and Jonathan R. Chubb
Molecular profiling of resident and infiltrating mononuclear phagocytes during rapid adult retinal degeneration using single-cell RNA sequencing,,10.1038/s41598-019-41141-0,True,Molecular profiling of resident and infiltrating mononuclear phagocytes during rapid adult retinal degeneration using single-cell RNA sequencing.pdf,2019,,Scientific Reports,True,SciHub,Kaitryn E. Ronning and Sarah J. Karlen and Eric B. Miller and Marie E. Burns
Dynamic transcriptome profiles within spermatogonial and spermatocyte populations during postnatal testis maturation revealed by single-cell sequencing,,10.1371/journal.pgen.1007810,True,Dynamic transcriptome profiles within spermatogonial and spermatocyte populations during postnatal testis maturation revealed by single-cell sequencing.pdf,2019,,{PLOS} Genetics,True,SciHub,Kathryn J. Grive and Yang Hu and Eileen Shu and Andrew Grimson and Olivier Elemento and Jennifer K. Grenier and Paula E. Cohen
Transcriptome-scale super-resolved imaging in tissues by RNA seqFISH+,,10.1038/s41586-019-1049-y,True,Transcriptome-scale super-resolved imaging in tissues by RNA seqFISH_.pdf,2019,,Nature,True,SciHub,Chee-Huat Linus Eng and Michael Lawson and Qian Zhu and Ruben Dries and Noushin Koulena and Yodai Takei and Jina Yun and Christopher Cronin and Christoph Karp and Guo-Cheng Yuan and Long Cai
"Single-cell expression profiling reveals dynamic flux of cardiac stromal, vascular and immune cells in health and injury",,10.7554/eLife.43882,True,Single-cell expression profiling reveals dynamic flux of cardiac stromal_ vascular and immune cells in health and injury.pdf,2019,,{eLife},True,SciHub,Nona Farbehi and Ralph Patrick and Aude Dorison and Munira Xaymardan and Vaibhao Janbandhu and Katharina Wystub-Lis and Joshua WK Ho and Robert E Nordon and Richard P Harvey
A Subset of Type I Conventional Dendritic Cells Controls Cutaneous Bacterial Infections through VEGFα-Mediated Recruitment of Neutrophils,,10.1016/j.immuni.2019.03.001,True,A Subset of Type I Conventional Dendritic Cells Controls Cutaneous Bacterial Infections through VEGFα-Mediated Recruitment of Neutrophils.pdf,2019,,Immunity,True,SciHub,Baptiste Janela and Amit A. Patel and Mai Chan Lau and Chi Ching Goh and Rasha Msallam and Wan Ting Kong and Michael Fehlings and Sandra Hubert and Josephine Lum and Yannick Simoni and Benoit Malleret and Francesca Zolezzi and Jinmiao Chen and Michael Poidinger and Ansuman T. Satpathy and Carlos Briseno and Christian Wohn and Bernard Malissen and Kenneth M. Murphy and Alexander A. Maini and Leen Vanhoutte and Martin Guilliams and Emmanuel Vial and Laurent Hennequin and Evan Newell and Lai Guan Ng and Philippe Musette and Simon Yona and Feriel Hacini-Rachinel and Florent Ginhoux
Slide-seq: A scalable technology for measuring genome-wide expression at high spatial resolution,,10.1126/science.aaw1219,True,Slide-seq_ A scalable technology for measuring genome-wide expression at high spatial resolution.pdf,2019,,Science,True,SciHub,Samuel G. Rodriques and Robert R. Stickels and Aleksandrina Goeva and Carly A. Martin and Evan Murray and Charles R. Vanderburg and Joshua Welch and Linlin M. Chen and Fei Chen and Evan Z. Macosko
Functional genomics of CDHR3 confirms its role in HRV-C infection and childhood asthma exacerbations,,10.1016/j.jaci.2019.01.052,True,Functional genomics of CDHR3 confirms its role in HRV-C infection and childhood asthma exacerbations.pdf,2019,,Journal of Allergy and Clinical Immunology,True,SciHub,Jamie L. Everman and Satria Sajuthi and Benjamin Saef and Cydney Rios and Ari M. Stoner and Mari Numata and Donglei Hu and Celeste Eng and Sam Oh and Jose Rodriguez-Santana and Eszter K. Vladar and Dennis R. Voelker and Esteban G. Burchard and Max A. Seibold
Adaptive plasticity of IL-10+ and IL-35+ Treg cells cooperatively promotes tumor T cell exhaustion,,10.1038/s41590-019-0346-9,True,Adaptive plasticity of IL-10_ and IL-35_ Treg cells cooperatively promotes tumor T cell exhaustion.pdf,2019,,Nature Immunology,True,SciHub,Deepali V. Sawant and Hiroshi Yano and Maria Chikina and Qianxia Zhang and Mengting Liao and Chang Liu and Derrick J. Callahan and Zhe Sun and Tao Sun and Tracy Tabib and Arjun Pennathur and David B. Corry and James D. Luketich and Robert Lafyatis and Wei Chen and Amanda C. Poholek and Tullia C. Bruno and Creg J. Workman and Dario A. A. Vignali
Modeling Spatial Correlation of Transcripts with Application to Developing Pancreas,,10.1038/s41598-019-41951-2,True,Modeling Spatial Correlation of Transcripts with Application to Developing Pancreas.pdf,2019,,Scientific Reports,True,SciHub,Ruishan Liu and Marco Mignardi and Robert Jones and Martin Enge and Seung K. Kim and Stephen R. Quake and James Zou
Single-cell RNA sequencing identifies inflammatory tissue T cells in eosinophilic esophagitis,,10.1172/JCI125917,True,,2019,,Journal of Clinical Investigation,False,,Ting Wen and Bruce J. Aronow and Yrina Rochman and Mark Rochman and Kiran KC and Phil J. Dexheimer and Philip Putnam and Vincent Mukkada and Heather Foote and Kira Rehn and Sam Darko and Daniel Douek and Marc E. Rothenberg
